great tinamou,#6e794d,#484b2d,#a6b087,#e0e5d5,#232316,#564d38,#302a1a,#7b7260,#958b81,#afaaa2,#847a4e,#433d1f,#b4b176,#d1d592,#151408,#090c08,#68696c,#3f423e,#838598,#9ea1b5
long tailed treequail,#323f2b,#5d6354,#c1beb5,#7e7b6f,#0a0e0a,#6a6a4c,#9c9a7f,#312e23,#cfccb6,#b1b0ac,#4e6b40,#78a57d,#243519,#83797a,#98d2a3,#93a075,#545751,#73766b,#313531,#dddcc9
mexican long tailed partridge,#30321f,#624c23,#93663b,#af744b,#d4a284,#a88a6c,#d6c7bc,#6a584b,#3e342f,#546f91,#947252,#b9b2b5,#484444,#878894,#dfdce3,#917a6b,#6c5b53,#b7aba1,#3b2b29,#e4e9ec
buff fronted wood partridge,#fcfbf9,#caa26b,#504438,#dccaa6,#80725f,#2b2623,#5f5946,#b0b3a5,#7f8778,#eeeeeb,#f9f9f8,#928476,#c7c6c0,#61564b,#9f6044,#f9f7f5,#ac907e,#e3d8c8,#cfb79e,#584444
buffy crowned wood partridge,#7b6647,#a3916e,#413422,#211a11,#c2b08d,#8d8461,#b9b295,#5c5035,#392f1b,#b79161,#706f48,#939960,#463e2b,#afaf79,#2f2618,#8b7f5b,#bab180,#5a492e,#332918,#d7d3a4
buffy crowned tree quail,#8c8360,#b8b294,#5b4f35,#382e1b,#b7905f,#706f48,#939960,#463e2b,#afaf79,#2f2618,#718059,#a1a883,#404632,#bcbcab,#292d20,#fcfbfb,#967468,#6d564c,#e2dbd5,#c9bab2
buffy crowned treequail,#8c8360,#b8b294,#5b4f35,#382e1b,#b69060,#706f48,#939960,#463e2b,#b0af7a,#2f2618,#718059,#a1a883,#404632,#bcbcab,#292d20,#fcfbfb,#967468,#6a544a,#e1dad5,#c8b5ac
guatemalan long tailed partridge,#23310f,#576f4a,#eff0ee,#289e74,#89221e,#667648,#415122,#999a8d,#273015,#b6b2ad,#303914,#6d762d,#baba72,#b2c01b,#9c9562,#66632c,#939e55,#2d270f,#afc06a,#43545b
highland partridge,#abb1b5,#c9d3d9,#816a57,#a09990,#554837,#3c3232,#bdc2c0,#8e999c,#636e75,#7d4432,#b3bdc9,#dee4e8,#897960,#4e4133,#a17037,#a37f53,#c0a882,#79623c,#3a230f,#c36c2c
highland wood partridge,#816345,#4f3722,#aa927c,#cab49d,#362618,#6d6864,#918d88,#433b33,#6e3a07,#b4762e,#808a79,#b6c1b3,#4a4b45,#9c653d,#df9d62,#3c3232,#bdc2c0,#e9ebe9,#8e999c,#7e4432
mountain partridge,#ebecec,#916e53,#ac9d8e,#6a3c20,#c78444,#f3f2ef,#997d5e,#b9b08f,#e1d9c2,#aa9770,#d0ae95,#a39174,#796a4f,#bfbbab,#728751,#f4f3f3,#907459,#b59c82,#d4c1af,#4f3e2a
