Name,id
Maroon (Crayola),687
Maroon (HTML/CSS),688
Maroon (X11),689
Mauve,690
Mauve taupe,691
Mauvelous,692
Maximum Blue,693
Maximum Blue Green,694
Maximum Blue Purple,695
Maximum Green,696
Maximum Green Yellow,697
Maximum Purple,698
Maximum Red,699
Maximum Red Purple,700
Maximum Yellow,701
Maximum Yellow Red,702
May green,703
Maya blue,704
Meat brown,705
Medium aquamarine,706
Medium blue,707
Medium candy apple red,708
Medium carmine,709
Medium champagne,710
Medium electric blue,711
Medium jungle green,712
Medium lavender magenta,713
Medium orchid,714
Medium Persian blue,715
Medium purple,716
Medium red-violet,717
Medium ruby,718
Medium sea green,719
Medium sky blue,720
Medium slate blue,721
Medium spring bud,722
Medium spring green,723
Medium taupe,724
Medium turquoise,725
Medium Tuscan red,726
Medium vermilion,727
Medium violet-red,728
Mellow apricot,729
Mellow yellow,730
Melon,731
Metallic Seaweed,732
Metallic Sunburst,733
Mexican pink,734
Middle Blue,735
Middle Blue Green,736
Middle Blue Purple,737
Middle Red Purple,738
Middle Green,739
Middle Green Yellow,740
Middle Purple,741
Middle Red,742
Middle Yellow,743
Middle Yellow Red,744
Midnight,745
Midnight blue,746
Midnight green (eagle green),747
Mikado yellow,748
Milk,749
Mimi Pink,750
Mindaro,751
Ming,752
Minion Yellow,753
Mint,754
Mint cream,755
Mint green,756
Misty Moss,757
Misty rose,758
Moccasin,759
Mode beige,760
Moonstone blue,761
Mordant red 19,762
Moss green,763
Mountain Meadow,764
Mountbatten pink,765
MSU Green,766
Mughal green,767
Mulberry,768
Mummy s Tomb,769
Mustard,770
Myrtle green,771
Mystic,772
Mystic Maroon,773
Nadeshiko pink,774
Napier green,775
Naples yellow,776
Navajo white,777
Navy,778
Navy purple,779
Neon Carrot,780
Neon fuchsia,781
Neon green,782
New Car,783
New York pink,784
Nickel,785
Non-photo blue,786
North Texas Green,787
Nyanza,788
Ocean Blue,789
Ocean Boat Blue,790
Ocean Green,791
Ochre,792
Office green,793
Ogre Odor,794
Old burgundy,795
Old gold,796
Old heliotrope,797
Old lace,798
Old lavender,799
Old mauve,800
Old moss green,801
Old rose,802
Old silver,803
Olive,804
Olive Drab (#3),805
Olive Drab #7,806
Olivine,807
Onyx,808
Opera mauve,809
Orange (color wheel),810
Orange (Crayola),811
Orange (Pantone),812
Orange (RYB),813
Orange (web),814
Orange peel,815
Orange-red,816
Orange Soda,817
Orange-yellow,818
